name	hdr	cited-pid	twin-path	twin-pid	status	print
ImageList_Draw	include/Commctrl.h	ms909815	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502905.html	ee502905	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI'; arg4: hdr='int**' twin='int' | BOOL WINAPI ImageList_Draw(HIMAGELIST, int, HDC, int, int, UINT)
ImageList_DrawEx	include/Commctrl.h	ms909816	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee506293.html	ee506293	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI'; arg4: hdr='int**' twin='int' | BOOL WINAPI ImageList_DrawEx(HIMAGELIST, int, HDC, int, int, int, int, COLORREF, COLORREF, UINT)
ImageList_DrawIndirect	include/Commctrl.h	ms909817	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms909818.html	ms909818	twin-match	 | BOOL ImageList_DrawIndirect(IMAGELISTDRAWPARAMS*)
ImageList_Duplicate	include/Commctrl.h	ms909818	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms909820.html	ms909820	twin-match	 | HIMAGELIST ImageList_Duplicate(HIMAGELIST)
ImageList_EndDrag	include/Commctrl.h	ms909820	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee499743.html	ee499743	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_EndDrag()
ImageList_GetBkColor	include/Commctrl.h	ms909821	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501730.html	ee501730	twin-diff	ret: hdr='COLORREF' twin='COLORREF WINAPI' | COLORREF WINAPI ImageList_GetBkColor(HIMAGELIST)
ImageList_GetDragImage	include/Commctrl.h	ms909823	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500265.html	ee500265	twin-diff	ret: hdr='HIMAGELIST' twin='HIMAGELIST WINAPI' | HIMAGELIST WINAPI ImageList_GetDragImage(POINT*, POINT*)
ImageList_GetIcon	include/Commctrl.h	ms909824	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee506299.html	ee506299	twin-diff	ret: hdr='HICON' twin='HICON WINAPI' | HICON WINAPI ImageList_GetIcon(HIMAGELIST, int, UINT)
ImageList_GetIconSize	include/Commctrl.h	ms909825	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503580.html	ee503580	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_GetIconSize(HIMAGELIST, int*, int*)
ImageList_GetImageCount	include/Commctrl.h	ms909826	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504304.html	ee504304	twin-diff	ret: hdr='int' twin='Int WINAPI' | Int WINAPI ImageList_GetImageCount(HIMAGELIST)
ImageList_GetImageInfo	include/Commctrl.h	ms909827	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee499663.html	ee499663	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_GetImageInfo(HIMAGELIST, int, IMAGEINFO*)
ImageList_LoadImage	include/Commctrl.h	ms909828	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504385.html	ee504385	twin-diff	ret: hdr='HIMAGELIST' twin='HIMAGELIST WINAPI'; arg3: hdr='int**' twin='int' | HIMAGELIST WINAPI ImageList_LoadImage(HINSTANCE, LPCSTR, int, int, COLORREF, UINT, UINT)
ImageList_Merge	include/Commctrl.h	ms909830	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503132.html	ee503132	twin-diff	ret: hdr='HIMAGELIST' twin='HIMAGELIST WINAPI'; arg3: hdr='HIMAGELIST**' twin='HIMAGELIST' | HIMAGELIST WINAPI ImageList_Merge(HIMAGELIST, int, HIMAGELIST, int, int, int)
ImageList_Remove	include/Commctrl.h	ms909831	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee506284.html	ee506284	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_Remove(HIMAGELIST, int)
ImageList_RemoveAll	include/Commctrl.h	ms909832	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504892.html	ee504892	twin-diff	arg1: hdr='HIMAGELIST' twin='himl' | BOOL ImageList_RemoveAll(himl)
ImageList_Replace	include/Commctrl.h	ms909833	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504557.html	ee504557	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI'; arg3: hdr='HBITMAP**' twin='HBITMAP' | BOOL WINAPI ImageList_Replace(HIMAGELIST, int, HBITMAP, HBITMAP)
ImageList_ReplaceIcon	include/Commctrl.h	ms909834	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500224.html	ee500224	twin-diff	ret: hdr='int' twin='int WINAPI'; arg3: hdr='HICON**' twin='HICON' | int WINAPI ImageList_ReplaceIcon(HIMAGELIST, int, HICON)
ImageList_SetBkColor	include/Commctrl.h	ms909835	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504889.html	ee504889	twin-diff	ret: hdr='COLORREF' twin='COLORREF WINAPI' | COLORREF WINAPI ImageList_SetBkColor(HIMAGELIST, COLORREF)
