id	title	kind	namespace	assembly	platforms	cf_supported
bb292238	SidAndAttributesType.SecurityIdentifier Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292239	FieldOrderType Members (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)					-
bb292248	ItemType.IsSubmitted Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292331	ContainsExpressionType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292585	MailBindingBase Constructor (MailSecurityMode) (Microsoft.ServiceModel.Channels.Mail)		Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292599	SubscribeResponseType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292617	DeleteItemResponseType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292618	ItemType.IsUnmodifiedSpecified Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292621	BaseFolderType.FolderId Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292721	AttachmentResponseShapeType.IncludeMimeContentSpecified Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
