id	title	kind	namespace	assembly	cf_supported	ce_generations	path
ms130232(v=vs.90)	DiffuseMaterialSource Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/RenderStateManager Class/RenderStateManager Properties /DiffuseMaterialSource Property 
ms129905(v=vs.90)	Direction Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Light Class/Light Properties /Direction Property 
ms129929(v=vs.90)	Direction Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/LightFixed Class/LightFixed Properties /Direction Property 
ms129617(v=vs.90)	DisplayMode Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class/Device Properties /DisplayMode Property 
ms129674(v=vs.90)	DisplayMode Structure	Structure	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DisplayMode Structure
ms129684(v=vs.90)	DisplayModeCollection Class	Class	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DisplayModeCollection Class
ms129085(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/BaseMesh Class/BaseMesh Methods /Dispose Method 
ms129577(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class/Device Methods /Dispose Method 
ms129784(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Font Class/Font Methods /Dispose Method 
ms129846(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/IndexBuffer Class/IndexBuffer Methods /Dispose Method 
ms130071(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Mesh Class/Mesh Methods /Dispose Method 
ms130302(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Sprite Class/Sprite Methods /Dispose Method 
ms130344(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Surface Class/Surface Methods /Dispose Method 
ms130405(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/SwapChain Class/SwapChain Methods /Dispose Method 
ms130431(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Texture Class/Texture Methods /Dispose Method 
ms130613(v=vs.90)	Dispose Method	Method	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/VertexBuffer Class/VertexBuffer Methods /Dispose Method 
