name	min_ce	versions	header	lib	in_include
PROCESSENTRY32	1.0	1.0 and later	Tlhelp32.h		1
PROCESSOR_INFO	3.0	3.0 and later	Pkfuncs.h		0
ProfilerHit	3.0	3.0 and later			0
ProfileStart	2.10	2.10 and later	Profiler.h		0
ProfileStop	2.10	2.10 and later	Profiler.h		0
ProgIDFromCLSID	3.0	3.0 and later	Objbase.h	Ole232.lib	1
PropertySheet	1.0	1.0 and later	Prsht.h		1
PROPID_M_ACKNOWLEDGE	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_ADMIN_QUEUE	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_ADMIN_QUEUE_LEN	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_APPSPECIFIC	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_ARRIVEDTIME	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_AUTH_LEVEL	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_BODY	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_BODY_SIZE	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_BODY_TYPE	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_CLASS	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_CORRELATIONID	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_DELIVERY	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_DEST_QUEUE	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_DEST_QUEUE_LEN	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_EXTENSION	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_EXTENSION_LEN	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_JOURNAL	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_LABEL	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_LABEL_LEN	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_MSGID	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_PRIORITY	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_RESP_QUEUE	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_RESP_QUEUE_LEN	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_SENTTIME	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_SRC_MACHINE_ID	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_TIME_TO_BE_RECEIVED	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
PROPID_M_TIME_TO_REACH_QUEUE	2.0	2.0 and later. Versions prior to 2.12 require the MSMQ add-on pack.	Mq.h		1
