# header	name	page	status	detail
include/Winbase.h	FINDEX_INFO_LEVELS	ms889654	match	
include/Winbase.h	FINDEX_SEARCH_OPS	ms889654	no-print-on-page	
include/Winbase.h	GET_FILEEX_INFO_LEVELS	ms889654	no-print-on-page	
include/Winbase.h	EXTENDED_NAME_FORMAT	ee483142	match	
include/Winbase.h	DeviceSearchType	ms898292	match	
include/Wininet.h	INTERNET_SCHEME	ms918377	match	
include/Wininet.h	InternetCookieState	ms918353	match	
include/Winldap.h	LDAP_RETCODE		no-pageid	
include/Winsock2.h	WSAECOMPARATOR	ms898736	match	
include/Winsock2.h	WSAESETSERVICEOP	ms898772	no-print-on-page	
include/Wsdapi.h	WSD_PROTOCOL_TYPE	ee498851	match	
include/Wsdapi.h	WSDUdpMessageType	ee498997	match	
include/Wsdapi.h	WSDEventType	ee499157	match	
include/XamlRuntime.h	XRLineStackingStrategy	ee501486	no-print-on-page	
include/XamlRuntime.h	XRTextWrapping	ee501505	no-print-on-page	
include/XamlRuntime.h	XRFontWeight	ee501509	no-print-on-page	
include/XamlRuntime.h	XRPenLineJoin	ee501538	no-print-on-page	
include/XamlRuntime.h	XRClockState	ee501562	no-print-on-page	
include/XamlRuntime.h	XRColorInterpolationMode	ee501619	no-print-on-page	
include/XamlRuntime.h	XRGridUnitType	ee501637	no-print-on-page	
include/XamlRuntime.h	XRStretch	ee501819	no-print-on-page	
include/XamlRuntime.h	XRStyleSimulations	ee501839	no-print-on-page	
include/XamlRuntime.h	XRGradientSpreadMethod	ee501840	no-print-on-page	
include/XamlRuntime.h	XRThreeState	ee501855	no-print-on-page	
include/XamlRuntime.h	XRPenLineCap	ee502118	no-print-on-page	
include/XamlRuntime.h	XRAlignmentY	ee502120	no-print-on-page	
include/XamlRuntime.h	XRBrushMappingMode	ee502139	no-print-on-page	
include/XamlRuntime.h	XRVerticalAlignment	ee502425	no-print-on-page	
include/XamlRuntime.h	XRVisibility	ee502426	no-print-on-page	
include/XamlRuntime.h	XRSweepDirection	ee502478	no-print-on-page	
include/XamlRuntime.h	XRTextDecorationType	ee502711	no-print-on-page	
include/XamlRuntime.h	XRTextAlignment	ee502747	no-print-on-page	
include/XamlRuntime.h	XRFontStretch	ee502998	no-print-on-page	
include/XamlRuntime.h	XRFillRule	ee503028	no-print-on-page	
include/XamlRuntime.h	XRKeyboardNavigationMode	ee503321	no-print-on-page	
include/XamlRuntime.h	XRHorizontalAlignment	ee503344	no-print-on-page	
include/XamlRuntime.h	XROrientation	ee503573	no-print-on-page	
include/XamlRuntime.h	XRScrollEventType	ee503585	no-print-on-page	
include/XamlRuntime.h	XRClickMode	ee503686	no-print-on-page	
include/XamlRuntime.h	XRFillBehavior	ee503994	no-print-on-page	
include/XamlRuntime.h	XRAlignmentX	ee504017	no-print-on-page	
include/XamlRuntime.h	XRScrollBarVisibility	ee504179	no-print-on-page	
include/XamlRuntime.h	XRCursor	ee504201	no-print-on-page	
include/XamlRuntime.h	XRFontStyle	ee504467	no-print-on-page	
include/aygshell.h	SHNP	aa453728	match	
include/aygshell.h	SHIC_FEATURE	aa453701	no-print-on-page	
include/aygshell.h	SIPSTATE	aa453741	no-print-on-page	
include/dvddrvr.h	EDVDAspectRatioMode	aa447766	match	
include/dvddrvr.h	EDVDAudioFreq	aa447767	match	
include/dvddrvr.h	EDVDAudioStreamType	aa447768	match	
include/dvddrvr.h	EDVDDisplayAspectRatio	aa447769	match	
include/dvddrvr.h	EDVDLpcmQuantization	aa447780	match	
include/dvddrvr.h	EDVDSyncEventType	aa447781	match	
include/dvddrvr.h	EHighlightAction	aa447783	match	
include/dvdmedia.h	KS_AM_PROPERTY_TS_RATE_CHANGE	aa452528	match	
include/p2p.h	PEER_RECORD_CHANGE_TYPE	ms895904	match	
include/p2p.h	PEER_CONNECTION_FLAGS	ms886712	match	
include/pm.h	CEDEVICE_POWER_STATE	aa447663	match	
include/pnrpdef.h	PNRP_CLOUD_FLAGS	ms896278	match	
include/pnrpdef.h	PNRP_CLOUD_STATE	ms896280	match	
include/pnrpdef.h	PNRP_RESOLVE_CRITERIA	ms896281	match	
include/oak/DwCeDump.h	MINIDUMP_STREAM_TYPE	ms939649	match	
include/oak/Hiddi.h	HID_STRING_TYPE	ms899890	match	
include/oak/Hidpi.h	HIDP_KEYBOARD_DIRECTION	ms899798	match	
include/oak/Hidpi.h	HIDP_REPORT_TYPE	ms899820	match	
include/oak/Ndis.h	NDIS_PARAMETER_TYPE	ms904090	match	
include/oak/Ndis.h	NDIS_INTERFACE_TYPE	aa448011	match	
include/oak/Ndis.h	NDIS_INTERRUPT_MODE	aa448018	no-print-on-page	
include/oak/Ntddndis.h	NDIS_802_11_AUTHENTICATION_MODE	aa447877	match	
include/oak/Ntddndis.h	NDIS_802_11_NETWORK_INFRASTRUCTURE	aa447884	match	
include/oak/Ntddndis.h	NDIS_802_11_NETWORK_TYPE	aa447885	match	
include/oak/Ntddndis.h	NDIS_802_11_POWER_MODE	aa447887	match	
include/oak/Ntddndis.h	NDIS_802_11_PRIVACY_FILTER	aa447889	match	
include/oak/Ntddndis.h	NDIS_802_11_RELOAD_DEFAULTS	aa447891	match	
include/oak/Ntddndis.h	NDIS_802_11_WEP_STATUS	aa447898	match	
include/oak/Ntddndis.h	NDIS_802_5_RING_STATE	aa447899	match	
include/oak/Ntddndis.h	NDIS_MEDIUM	aa448032	match	
include/oak/Ntddndis.h	NDIS_WAN_MEDIUM_SUBTYPE	ms905049	match	
include/oak/Rtccore.h	RTC_ACE_SCOPE		no-pageid	
include/oak/Rtccore.h	RTC_ANSWER_MODE		no-pageid	
include/oak/Rtccore.h	RTC_AUDIO_DEVICE		no-pageid	
include/oak/Rtccore.h	RTC_BUDDY_EVENT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_BUDDY_SUBSCRIPTION_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_CLIENT_EVENT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_DTMF		no-pageid	
include/oak/Rtccore.h	RTC_EVENT		no-pageid	
include/oak/Rtccore.h	RTC_GROUP_EVENT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_LISTEN_MODE		no-pageid	
include/oak/Rtccore.h	RTC_MEDIA_EVENT_REASON		no-pageid	
include/oak/Rtccore.h	RTC_MEDIA_EVENT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_MESSAGING_EVENT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_MESSAGING_USER_STATUS		no-pageid	
include/oak/Rtccore.h	RTC_OFFER_WATCHER_MODE		no-pageid	
include/oak/Rtccore.h	RTC_PARTICIPANT_STATE		no-pageid	
include/oak/Rtccore.h	RTC_PORT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_PRESENCE_PROPERTY		no-pageid	
include/oak/Rtccore.h	RTC_PRESENCE_STATUS		no-pageid	
include/oak/Rtccore.h	RTC_PRIVACY_MODE		no-pageid	
include/oak/Rtccore.h	RTC_PROFILE_EVENT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_PROVIDER_URI		no-pageid	
include/oak/Rtccore.h	RTC_REGISTRATION_STATE		no-pageid	
include/oak/Rtccore.h	RTC_REINVITE_STATE		no-pageid	
include/oak/Rtccore.h	RTC_RING_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_ROAMING_EVENT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_SECURITY_LEVEL		no-pageid	
include/oak/Rtccore.h	RTC_SECURITY_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_SESSION_REFER_STATUS		no-pageid	
include/oak/Rtccore.h	RTC_SESSION_STATE		no-pageid	
include/oak/Rtccore.h	RTC_SESSION_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_T120_APPLET		no-pageid	
include/oak/Rtccore.h	RTC_TERMINATE_REASON		no-pageid	
include/oak/Rtccore.h	RTC_USER_SEARCH_COLUMN		no-pageid	
include/oak/Rtccore.h	RTC_USER_SEARCH_PREFERENCE		no-pageid	
include/oak/Rtccore.h	RTC_VIDEO_DEVICE		no-pageid	
include/oak/Rtccore.h	RTC_WATCHER_EVENT_TYPE		no-pageid	
include/oak/Rtccore.h	RTC_WATCHER_MATCH_MODE		no-pageid	
include/oak/Rtccore.h	RTC_WATCHER_STATE		no-pageid	
include/oak/Sdcardddk.h	SD_FS_TYPE	ms920432	match	
include/oak/Sdcardddk.h	SD_INTERFACE_MODE	ms920436	match	
include/oak/Sdcardddk.h	SD_RESPONSE_TYPE	ms920454	annotated-deviation	hdr=NoResponse,ResponseR1,ResponseR1b,ResponseR2,ResponseR3,ResponseR4,ResponseR5,ResponseR6,ResponseR7 page=NoResponse,ResponseR1,ResponseR1b,ResponseR2,ResponseR3,ResponseR4,ResponseR5,ResponseR6
include/oak/Sdcardddk.h	SD_TRANSFER_CLASS	ms920459	match	
include/oak/Sdcardddk.h	SDCARD_DEVICE_TYPE	ms920321	match	
include/oak/Sdcardddk.h	SD_IO_TRANSFER_TYPE	ms920440	match	
