name	hdr	cited-pid	twin-path	twin-pid	status	diffs
IDLDESC	include/Objbase.h	ms892132	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/wcesdkrIDLDESC.html		no-print-in-twin	
IMAGEINFO	include/Commctrl.h	ms909781	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504824.html	ee504824	twin-diff	membercount hdr=7 twin=5
IMAGELISTDRAWPARAMS	include/Commctrl.h	ms909819	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee504136.html	ee504136	twin-match	
IMENUMINFO	include/Sipapi.h	ms909841	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/_wcesdk_IMENUMINFO.html		no-print-in-twin	
INITCOMMONCONTROLSEX	include/Commctrl.h	ms909850	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503993.html	ee503993	twin-match	
IP_ADDRESS_STRING	include/Iptypes.h	ms895038	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms891174.html	ms891174	twin-match	
IP_PER_ADAPTER_INFO	include/Iptypes.h	ms895046	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms891179.html	ms891179	twin-diff	m3 hdr='IP_ADDR_STRING*CurrentDnsServer' twin='PIP_ADDR_STRING CurrentDnsServer'
ImageCodecInfo	include/Imaging.h	aa452241	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/aa452241.html		no-print-in-twin	
KBDI_AUTOREPEAT_INFO	include/oak/Keybd.h	ms902134	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms902134.html		no-print-in-twin	
KBDI_VKEY_TO_UNICODE_INFO	include/oak/Keybd.h	ms902135	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms902135.html		no-print-in-twin	
LARGE_INTEGER	include/Winnt.h	ms891120			no-twin-page	
LINECALLLIST	include/Tapi.h	ms893660	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-net-4x/ms907302.html	ms907302	twin-match	
LOGBRUSH	include/Wingdi.h	aa453418	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503661.html	ee503661	twin-match	
LOGFONT	include/Wingdi.h	ms901140	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee489840.html	ee489840	twin-match	
LOGPALETTE	include/Wingdi.h	aa453419	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee505709.html	ee505709	twin-match	
LOGPEN	include/Wingdi.h	aa453420	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502585.html	ee502585	twin-match	
LV_DISPINFO	include/Commctrl.h	ms931645	/home/user/wince-docs-corpus/docs/chm/windows-ce-3.0/_wcesdk_win32_LV_DISPINFO_str.html		no-print-in-twin	
MCHITTESTINFO	include/Commctrl.h	ms931478	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee499735.html	ee499735	twin-match	
