# name	action	page	note
GetAsyncKeyState	drop	ms929204	Requirements name ?, Kbdui.lib, Kbdui.lib.; placed in kbdui-doc.def
GetAsyncShiftFlags	drop	aa453955	Requirements name Kbdui.lib, Kbdui.lib.; placed in kbdui-doc.def
GetCPInfo	drop	ms905221	Requirements name ?, Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
GetCaretBlinkTime	drop	ms929209	Requirements name ?, Caret.lib, Caret.lib.; placed in caret-doc.def
GetCaretPos	drop	ms929210	Requirements name ?, Caret.lib, Caret.lib.; placed in caret-doc.def
GetClassInfoW	drop	ms929211	Requirements name ?
GetClassLong	drop	ms929212	Requirements name ?
GetClassLongW	drop	ms929212	Requirements name ?
GetClassNameW	drop	ms929213	Requirements name ?
GetClientRect	drop	ms929214	Requirements name ?
GetClipCursor	drop	ms929220(v=msdn.10)	Requirements name ?, Cursor.lib; placed in cursor-doc.def
GetClipboardData	drop	ms929215	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
GetClipboardDataAlloc	drop	ms929216	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
GetClipboardFormatNameW	drop	ms929217	Requirements name Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
GetClipboardOwner	drop	ms929218	Requirements name ?, Clipbd.lib, Clipbd.lib.; placed in clipbd-doc.def
GetCommMask	drop	ms885606	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
GetCommModemStatus	drop	ms885607	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
GetCommProperties	drop	ms885608	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
GetCommState	drop	ms885609	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
GetCommTimeouts	drop	ms885610	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
GetCurrencyFormatW	drop	ms905229	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
GetCursor	drop	ms929225(v=msdn.10)	Requirements name ?, Cursor.lib; placed in cursor-doc.def
GetCursorPos	drop	ms929226(v=msdn.10)	Requirements name ?, Cursor.lib; placed in cursor-doc.def
GetDateFormatW	drop	ms905235	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
GetDesktopWindow	drop	ms929229	Requirements name ?
GetDeviceInformationByDeviceHandle	drop	aa447829	Requirements name ?
GetDeviceInformationByFileHandle	drop	aa447830	Requirements name ?
GetDialogBaseUnits	drop	ms929231	Requirements name ?, Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
GetDlgCtrlID	drop	ms929233	Requirements name ?, Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
GetDlgItem	drop	ms929234	Requirements name ?, Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
GetDlgItemInt	drop	ms929235	Requirements name ?, Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
GetDlgItemTextW	drop	ms929236	Requirements name Dlgmgr.lib, Dlgmgr.lib.; placed in dlgmgr-doc.def
GetFocus	drop	ms929240	Requirements name ?, Caret.lib; placed in caret-doc.def
GetForegroundInfo	drop	ms929241	Requirements name ?, Linked
GetForegroundKeyboardLayoutHandle	drop	ms929242	Requirements name ?, Linked
GetForegroundKeyboardTarget	drop	ms929243	Requirements name ?, Linked
