# name	page_ids	header	status	note
IOCTL_STREAM_START_XMIT_SESSION	ms902099	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_STOP_SESSION	ms902101	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_ALLOCATE_LOCAL_PLUG	ms902102	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_CONNECTION_REQUEST_PROCESSED	ms902103	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_DEREFERENCE_CONNECTION_PLUG	ms902104	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_DEREGISTER_SUBUNIT	ms902105	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_DISCONNECTION_REQUEST_PROCESSED	ms902106	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_FREE_LOCAL_PLUG	ms902107	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_PROCESS_REGISTRY_PLUGS	ms902108	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_QUERY_LOCAL_PLUGS	ms902109	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_UNIT_REGISTER_SUBUNIT	ms902110	Avc_unit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_VCR_AVCCMD	ms902112	Avc_vcr.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_VVCR_COMPLETE	ms902113	Avc_vvcr.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_VVCR_EVENT	ms902114	Avc_vvcr.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_VVCR_QUERY_STATE	ms902116	Avc_vvcr.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_VVCR_SET_MECHANISM_POSITION	ms902117	Avc_vvcr.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_VVCR_SET_MECHANISM_STATE	ms902118	Avc_vvcr.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_VVCR_SET_MECHANISM_TRACK_NUMBER	ms902119	Avc_vvcr.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
InitObjType	aa514309	Cesync.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
Install_Init	aa514314	Ce_setup.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
LINELOCATIONOPTION	ms894385	Tapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
LogConnectionCreation	ms886745	Natedit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
LogConnectionDeletion	ms886746	Natedit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
LogDroppedPacket	ms886747	Natedit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
